#,Date,"Full Range, μS/cm (LGR S/N: 10104851_10662795_duplicate_duplicate_21113608, SEN S/N: 10104851)","Temp, °C (LGR S/N: 10104851_10662795_duplicate_duplicate_21113608, SEN S/N: 10104851)",Specific_Conductance
125,2/10/2022 23:45,13.5,8.46,408.2
126,2/11/2022 0:00,13.5,8.24,410.7
127,2/11/2022 0:15,3.1,8.01,94.9
128,2/11/2022 0:30,3.1,7.81,95.5
129,2/11/2022 0:45,1.1,7.62,34.1
130,2/11/2022 1:00,3.1,7.38,96.6
131,2/11/2022 1:15,3.1,7.2,97.1
132,2/11/2022 1:30,3.1,7.1,97.4
133,2/11/2022 1:45,3.1,7,97.7
134,2/11/2022 2:00,3.1,6.97,97.8
135,2/11/2022 2:15,3.9,6.96,123
136,2/11/2022 2:30,13.5,6.86,427.1
137,2/11/2022 2:45,1.1,6.75,34.9
138,2/11/2022 3:00,3.1,6.7,98.5
139,2/11/2022 3:15,3.1,6.6,98.8
140,2/11/2022 3:30,3.1,6.58,98.9
141,2/11/2022 3:45,3.1,6.4,99.4
142,2/11/2022 4:00,3.9,6.06,126.3
143,2/11/2022 4:15,13.5,5.72,441.4
144,2/11/2022 4:30,1.2,5.34,39.7
145,2/11/2022 4:45,1.2,4.98,40.1
146,2/11/2022 5:00,3.1,4.65,104.6
147,2/11/2022 5:15,3.9,4.35,132.8
148,2/11/2022 5:30,3.1,4.08,106.4
149,2/11/2022 5:45,3.1,3.82,107.2
150,2/11/2022 6:00,3.1,3.58,108
151,2/11/2022 6:15,3.1,3.37,108.7
152,2/11/2022 6:30,1.2,3.21,42.3
153,2/11/2022 6:45,13.6,3.04,481.7
154,2/11/2022 7:00,13.6,2.87,484.3
155,2/11/2022 7:15,3.1,2.68,111
156,2/11/2022 7:30,13.6,2.52,489.5
157,2/11/2022 7:45,3.1,2.35,112.2
158,2/11/2022 8:00,3.1,2.2,112.7
159,2/11/2022 8:15,13.6,2.07,496.4
160,2/11/2022 8:30,13.6,2.01,497.4
